manufacture;duration;lift;price;description
přebrus;258° / 248°;6,4 / 5,8 mm;4 400 Kč;vhodná pro motory TAZ 1,43 až 1,6
přebrus;278°/ 272°;7,0 / 6,6 mm;4 400 Kč;vhodná pro motory TAZ 1,8
výroba;284° / 284°;7,0 / 7,0 mm;11 500 Kč;vhodná pro motory TAZ 1,9 (mírně opotřebený kus)
výroba;284° / 284°;8,0 / 8,0 mm;15 500 Kč;vhodná pro motory TAZ 2,0 a větší
